#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M
2,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M
3,Ch3Thailand @UC48h7Dst_hX82HxOf3xJw_w,31.7M,-,Thailand,,9.5M
4,GMM GRAMMY OFFICIAL @UCG9gfnA5UDoLvz-tC9B-HKw,22.3M,-,Thailand,,6.7M
5,Grammy Gold Official @UCFWsjsN53Sqvg2pWhSFmWBQ,17.2M,-,Thailand,,5.2M
6,GMMTV OFFICIAL​​ @UC8BzJM6_VbZTdiNLD4R1jxQ,15.6M,-,Thailand,,4.7M
7,Thairath Online @UCrFDdD-EE05N7gjwZho2wqw,14.9M,-,Thailand,,4.5M
8,Ch7HD @UCXUVnTEsLZBim_WlWxBvEwA,14.6M,-,Thailand,,4.4M
9,Genierock @UCs2t9DlvAuyTBkvk2djGZKw,14.4M,-,Thailand,,4.3M
10,Bie The Ska @UCjVb9mJZTeuPLN4hOjmvQnw,14M,-,Thailand,,4.2M
11,GMM25Thailand @UCTP5z0kFg6-nPcZ79gTC67Q,13.5M,-,Thailand,,4.1M
12,My Mate Nate @UC7rtE7hSTaC8xDf5v_7O1qQ,12.3M,0.40%,Thailand,,3.7M
13,Mark Wiens @UCyEd6QBSgat5kkC6svyjudA,9.6M,-,Thailand,Travel Food and Drink,2.9M
14,rsfriends @UC8GkZ5dlOrw-yN_nkOAIzPA,9.5M,-,Thailand,,2.9M
15,ครูนกเล็ก @UCyRXnSFPjQ7JcQJvebSPYcg,9.2M,-,Thailand,,2.8M
16,เรื่องเล่าเช้านี้ @UC5wKpLWxAZBZrunls3mzwEw,9.1M,-,Thailand,,2.7M
17,1412 CH @UCrwAK-5m3hatI0Ftexh0fxQ,8.3M,-,Thailand,,2.5M
18,PEACH EAT LAEK @UC8jdjGFODrFuR3e-HTmcsAw,8.1M,0.50%,Thailand,,2.4M
19,CGGG @UCbjxYa1F_1Lbm-IA5yAgWxg,8.1M,-,Thailand,,2.4M
20,HEARTROCKER @UC4plRabXFGdAE6HP-tBQKdQ,8M,0.30%,Thailand,Video Gaming,2.4M
21,YimYam TV @UCcRu53iblqjNvJFFDLHikdA,8M,-,Thailand,,2.4M
22,ZENSE Entertainment @UCyw69lFs9nFatEft6isn1CA,7.6M,-,Thailand,,2.3M
23,The Inner Studio @UCa7a1ekrFPdvDW76lEHjo3A,7.3M,-,Thailand,,2.2M
24,Kristino Olsen @UCNf-0CFebisYHzgizkFvFMg,7.3M,-,Thailand,,2.2M
25,Beam Copphone @UCPZHbywHs_aNFjzyOJ97uxg,7.2M,-,Thailand,,2.2M
26,MNJ TV @UCKO4KD_9pNbonpU50IIVTMQ,7.1M,0.10%,Thailand,,2.1M
27,VRZOchannel @UCDlMDG2j7XQQfvM3jp8nBZQ,6.9M,-,Thailand,,2.1M
28,TV Thunder Official @UC3pyPJdd1J4OWCTnUd0ychA,6.9M,-,Thailand,,2.1M
29,Mr. Tfue @UCGPYR4JXRDyYpHZXG6vZ_1Q,6.8M,-,Thailand,,2M
30,MR.B @UC6W59uNv35j461kbYyIM8UQ,6.7M,-,Thailand,,2M
31,TopSib Thailand @UC61PCszexp0rEaX6h1sKCxg,6.6M,-,Thailand,,2M
32,PRIMKUNG @UChjKDMnMMG6iZY3twuuS2zg,6.3M,0.20%,Thailand,,1.9M
33,กระต่าย พรรณนิภา OFFICIAL @UCdNocXxFlNCRiSqzs5kRVQw,6.2M,-,Thailand,,1.9M
34,KidsMeSong [เพลงเด็ก วิดีโอเด็ก] @UCDKeoWryNr3CSyuI3Ksyz-Q,6.1M,-,Thailand,,1.8M
35,108Life @UC0TnoMtL2J9OsXU4jgvO_ag,6.1M,-,Thailand,,1.8M
36,พิมรี่พาย @UCoJuMpfYKqCbvnd1DpUUJmg,6M,-,Thailand,,1.8M
37,Grammy Big @UC150NxpFj0WLC38uhX8F-Rw,6M,-,Thailand,,1.8M
38,Illslick thelegandary @UCPjJUEUwxI7GHMKiiEB-R7w,6M,6.90%,Thailand,,1.8M
39,KRK Channel @UCInNES_Pi2bJKvZv_Q_3C7Q,5.7M,0.40%,Thailand,,1.7M
40,อาจารย์ยอด @UCZo5ZB2p-UMqc5e1llZ1RLg,5.6M,-,Thailand,,1.7M
