#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos,
1,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M,WorkpointOfficial,41100000,38609199360,85116,
2,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M,ช่อง one31,40500000,28501303594,145747,
3,Ch3Thailand @UC48h7Dst_hX82HxOf3xJw_w,31.7M,-,Thailand,,9.5M,Ch3Thailand,35000000,22899350145,79790,
4,GMM GRAMMY OFFICIAL @UCG9gfnA5UDoLvz-tC9B-HKw,22.3M,-,Thailand,,6.7M,GMM GRAMMY OFFICIAL,24100000,27219433837,17248,
5,Grammy Gold Official @UCFWsjsN53Sqvg2pWhSFmWBQ,17.2M,-,Thailand,,5.2M,GRAMMY GOLD OFFICIAL,19800000,22202776658,7180,
6,GMMTV OFFICIAL​​ @UC8BzJM6_VbZTdiNLD4R1jxQ,15.6M,-,Thailand,,4.7M,GMMTV OFFICIAL​​,17800000,14950072812,27967,
7,Thairath Online @UCrFDdD-EE05N7gjwZho2wqw,14.9M,-,Thailand,,4.5M,THAIRATH TV Originals,18000000,16843384297,282912,
8,Ch7HD @UCXUVnTEsLZBim_WlWxBvEwA,14.6M,-,Thailand,,4.4M,Ch7HD,17600000,10405415306,72386,
9,Genierock @UCs2t9DlvAuyTBkvk2djGZKw,14.4M,-,Thailand,,4.3M,Genierock,16000000,15464573769,1949,
10,Bie The Ska @UCjVb9mJZTeuPLN4hOjmvQnw,14M,-,Thailand,,4.2M,Bie The Ska,14500000,4928568189,1834,
11,GMM25Thailand @UCTP5z0kFg6-nPcZ79gTC67Q,13.5M,-,Thailand,,4.1M,GMM25Thailand,15300000,8978957026,77865,
12,My Mate Nate @UC7rtE7hSTaC8xDf5v_7O1qQ,12.3M,0.40%,Thailand,,3.7M,My Mate Nate,14300000,4129007396,1516,
13,Mark Wiens @UCyEd6QBSgat5kkC6svyjudA,9.6M,-,Thailand,Travel Food and Drink,2.9M,Mark Wiens,10600000,2687927102,1418,
14,rsfriends @UC8GkZ5dlOrw-yN_nkOAIzPA,9.5M,-,Thailand,,2.9M,rsfriends,10300000,8582990789,4310,
15,ครูนกเล็ก @UCyRXnSFPjQ7JcQJvebSPYcg,9.2M,-,Thailand,,2.8M,ครูนกเล็ก,9700000,7715334998,3418,
16,เรื่องเล่าเช้านี้ @UC5wKpLWxAZBZrunls3mzwEw,9.1M,-,Thailand,,2.7M,เรื่องเล่าเช้านี้,11100000,8148519302,131490,
17,1412 CH @UCrwAK-5m3hatI0Ftexh0fxQ,8.3M,-,Thailand,,2.5M,1412 CH,8370000,1540828055,1310,
18,PEACH EAT LAEK @UC8jdjGFODrFuR3e-HTmcsAw,8.1M,0.50%,Thailand,,2.4M,PEACH EAT LAEK,8890000,1797263406,944,
19,CGGG @UCbjxYa1F_1Lbm-IA5yAgWxg,8.1M,-,Thailand,,2.4M,CGGG,8040000,994249979,759,
20,HEARTROCKER @UC4plRabXFGdAE6HP-tBQKdQ,8M,0.30%,Thailand,Video Gaming,2.4M,HEARTROCKER,8880000,3523664470,2750,
